"sigungu_code","sigungu_name","sigungu_nm","sido","RR_median","RR_mean","RR_CrI_lower","RR_CrI_upper","Pr_RR_gt_1","elevated_95CrI_flag","exceedance_0_8_flag","exceedance_0_9_flag","island_removed_from_main","total_cases_2011_2024"
"31200","경기도파주시","파주시","경기도",0.9742538622999308,1.001556190541684,0.6144014711634208,1.5493091753256727,0.45135466088166576,FALSE,FALSE,FALSE,FALSE,4
"31270","경기도포천시","포천시","경기도",0.9712640332931141,0.9999720294550628,0.6057817015222714,1.563591418591151,0.44660472410270025,FALSE,FALSE,FALSE,FALSE,3
"35320","전라북도진안군","진안군","전라북도",0.9690029100266645,0.9984055546564088,0.5768283199103266,1.6006216868425789,0.4444824222461814,FALSE,FALSE,FALSE,FALSE,0
"36390","전라남도강진군","강진군","전라남도",0.9602344900316497,0.988576078196454,0.5315198049741213,1.6163315455454033,0.436939044646768,FALSE,FALSE,FALSE,FALSE,0
"32060","강원도속초시","속초시","강원도",0.957726742699447,1.000743964620792,0.5175223115539836,1.7449589523182578,0.43667805177105723,FALSE,FALSE,FALSE,FALSE,0
"37340","경상북도영양군","영양군","경상북도",0.9628746871662412,0.9966213785125416,0.5681872088823865,1.6307595645869666,0.4359371292363188,FALSE,FALSE,FALSE,FALSE,0
"22030","대구시서구","서구","대구시",0.9690175392493695,0.9882607238133349,0.6353376319386326,1.4572497263870976,0.43461374928639396,FALSE,FALSE,FALSE,FALSE,1
"38390","경상남도거창군","거창군","경상남도",0.9628133240629507,0.986587096075871,0.5636496036643383,1.5584545654730086,0.4326579223134359,FALSE,FALSE,FALSE,FALSE,0
"33380","충청북도단양군","단양군","충청북도",0.9604748172931149,0.9950421494123789,0.569119046583246,1.631799001542293,0.4312980685256078,FALSE,FALSE,FALSE,FALSE,0
"36010","전라남도목포시","목포시","전라남도",0.955339269704213,0.9817235748979324,0.5407854231210034,1.5804560642252867,0.4274810041829088,FALSE,FALSE,FALSE,FALSE,1
"31250","경기도광주시","광주시","경기도",0.9639953782792164,0.990684578340196,0.6310186615151795,1.5083944075106304,0.4269736734307187,FALSE,FALSE,FALSE,FALSE,4
"33020","충청북도충주시","충주시","충청북도",0.9625100632168252,0.991347531041647,0.6264049804695884,1.528703480430261,0.42482370588738727,FALSE,FALSE,FALSE,FALSE,4
"37330","경상북도청송군","청송군","경상북도",0.954698417622881,0.9890279893308895,0.5476505020326936,1.641065958136364,0.42454359601169234,FALSE,FALSE,FALSE,FALSE,1
"22060","대구시수성구","수성구","대구시",0.9634860835055985,0.9817010295628098,0.628661016069983,1.4452474753884992,0.42316496943567283,FALSE,FALSE,FALSE,FALSE,2
"36460","전라남도완도군","완도군","전라남도",0.9520052983882333,0.977751855101479,0.5337482854026602,1.5766711465595575,0.4221938941694855,FALSE,FALSE,FALSE,TRUE,0
"37070","경상북도영천시","영천시","경상북도",0.960532420712329,0.9811939436249706,0.6144948676858797,1.473832002089563,0.41991506523718347,FALSE,FALSE,FALSE,FALSE,2
"36470","전라남도진도군","진도군","전라남도",0.9447043960504792,0.9714633560534177,0.5191817476442399,1.5850279078485516,0.41275333257754154,FALSE,FALSE,FALSE,TRUE,0
"35330","전라북도무주군","무주군","전라북도",0.9549525786999015,0.9798951863166285,0.5910344465884493,1.5233813235024556,0.41268652353295343,FALSE,FALSE,FALSE,FALSE,1
"35310","전라북도완주군","완주군","전라북도",0.9483656244577315,0.9746209481744913,0.5574995212451812,1.5543719325176548,0.4083094958515525,FALSE,FALSE,FALSE,FALSE,0
"36400","전라남도해남군","해남군","전라남도",0.9441993787677756,0.9675479200986188,0.5379302023737205,1.5372419647826698,0.40726022231183456,FALSE,FALSE,FALSE,FALSE,0
"11210","서울시관악구","관악구","서울시",0.9532306580475045,0.9746863502665388,0.614273228621764,1.4630164180623615,0.40524823110369546,FALSE,FALSE,FALSE,FALSE,4
"37350","경상북도영덕군","영덕군","경상북도",0.9418703251070969,0.973655831961028,0.5361868938635418,1.607739828202694,0.40296539355128025,FALSE,FALSE,FALSE,FALSE,0
"22040","대구시남구","남구","대구시",0.9493493404700456,0.9704733722623148,0.5889978360380971,1.481455433593005,0.4026484026684871,FALSE,FALSE,FALSE,FALSE,1
"39020","제주도서귀포시","서귀포시","제주도",0.9343087835455864,0.9635094908980658,0.49635701908405205,1.6073075626228837,0.4011004184310756,FALSE,FALSE,FALSE,FALSE,1
"31380","경기도양평군","양평군","경기도",0.9501939579541961,0.9759048239125018,0.6114931554514199,1.4951263849438068,0.40014717758658314,FALSE,FALSE,FALSE,FALSE,2
"22050","대구시북구","북구","대구시",0.9517432218505592,0.9688968656027888,0.6195285244790869,1.4229472217798071,0.3982941430082394,FALSE,FALSE,FALSE,FALSE,2
"37060","경상북도영주시","영주시","경상북도",0.9402054793475274,0.9694333335283628,0.5560914888389595,1.5630302163132186,0.39440090224053015,FALSE,FALSE,FALSE,FALSE,0
"31090","경기도안산시","경기도안산시","경기도",0.9447423364487385,0.9656747108096457,0.5883943101869374,1.4683683722283254,0.3939743987093772,FALSE,FALSE,FALSE,FALSE,4
"32360","강원도철원군","철원군","강원도",0.9326524618287595,0.9630340971340381,0.5271377164089845,1.5847217218287153,0.38840261606781046,FALSE,FALSE,FALSE,FALSE,0
"11220","서울시서초구","서초구","서울시",0.9402425463087273,0.9631659927698847,0.5889193924431588,1.4762046963966324,0.3838496530260094,FALSE,FALSE,FALSE,FALSE,3
"37090","경상북도문경시","문경시","경상북도",0.9339206307708127,0.9614976463709611,0.5625177415919349,1.5317196344777988,0.3791499843215368,FALSE,FALSE,FALSE,FALSE,1
"31060","경기도광명시","광명시","경기도",0.9339181989541907,0.953175244330732,0.5799860226430501,1.4433925861120764,0.37130616026871144,FALSE,FALSE,FALSE,FALSE,1
"37310","대구시군위군","군위군","대구시",0.9322629942621111,0.9509765851940087,0.5711133963725215,1.4488068407478805,0.3680427287721634,FALSE,FALSE,FALSE,FALSE,0
"11180","서울시금천구","금천구","서울시",0.9314284333094921,0.9506970630367334,0.5765259968195808,1.4423224825853163,0.36681508244942973,FALSE,FALSE,FALSE,FALSE,1
"39010","제주도제주시","제주시","제주도",0.9141895526746152,0.9391671892584562,0.49801332170041934,1.5308043372504174,0.3661748579712336,FALSE,FALSE,FALSE,FALSE,3
"37030","경상북도김천시","김천시","경상북도",0.9285630297607776,0.9500254066354854,0.5596174111417167,1.4763908566982566,0.3655253689290393,FALSE,FALSE,FALSE,FALSE,1
"31350","경기도연천군","연천군","경기도",0.9185435880501616,0.9455411571206046,0.5173715813479861,1.5399567046008407,0.3636621964614406,FALSE,FALSE,FALSE,FALSE,0
"11230","서울시강남구","강남구","서울시",0.9273421894809085,0.9492699989559258,0.5700977825687117,1.4636813659120496,0.3605156507928511,FALSE,FALSE,FALSE,FALSE,1
"33340","충청북도영동군","영동군","충청북도",0.9207411756524844,0.9459695810734956,0.5441696928897409,1.5075123365715999,0.35677346715870484,FALSE,FALSE,FALSE,FALSE,1
"31280","경기도여주시","여주시","경기도",0.9182999703981786,0.9437245643771482,0.5564957393539043,1.488699636596695,0.34908642259295564,FALSE,FALSE,FALSE,FALSE,2
"31370","경기도가평군","가평군","경기도",0.9202343124226334,0.9397772235228119,0.5628368728142478,1.437002664318062,0.34689367091012036,FALSE,FALSE,FALSE,FALSE,0
"33360","충청북도괴산군","괴산군","충청북도",0.9160164928235109,0.9415876621100026,0.5517083499932401,1.4923761109228915,0.3450439050945656,FALSE,FALSE,FALSE,FALSE,1
